Etykieta,Liczba próbek,Œrednia,Min,Max,Odch. std.,% b³êdów,Przepustowoœæ,KB/sek,bitów œrednio
"91 /r,id,d14xNDA7aF45MDt1Xmh0dHA6Ly9pLndwLnBsL2EvZi9qcGVnLzM2MjM1L3RlbGUyMDMuanBlZztxXjAuOTtjXnRydWU7c2NedHJ1ZTt0XmpwZztzXndpYWRvbW9zY2k7ZnReMQ==.jpg",5,159,124,184,"22,31","0,00%","4,4","40,67","9403,0"
98 /a/f/jpeg/36223/petru_pap_epa_140.jpeg,5,94,51,139,"37,53","0,00%","4,9","79,62","16535,0"
"83 /r,id,d142NTA7aF4xMDA7dV5odHRwOi8vaS53cC5wbC9hL2YvanBlZy8zNjAyOC9kdXphX3NhbGFfcm96cHJhd190azMwMC5qcGVnO3FeMC44O2NedHJ1ZTtzY150cnVlO3ReanBnO3Ned2lhZG9tb3NjaTtmdF4x.jpg",5,136,83,197,"37,20","0,00%","5,0","93,01","18934,0"
81 /a/f/jpeg/36242/saka_203.jpeg,5,143,88,240,"55,65","0,00%","5,6","180,39","32695,0"
112 /pl1-sst-w.js,5,151,128,174,"15,07","0,00%","5,7","13,58","2445,0"
101 /a/f/jpeg/28383/wp_telewizja_pilot_telewizor_szelemej_140.jpeg,5,123,66,215,"52,62","0,00%","6,3","177,44","28818,0"
116 /collect,5,43,23,61,"13,60","0,00%","7,1","2,68","386,0"
113 /a/f/jpeg/29501/wp_donald_tusk_marcin_gadomski140.jpeg,5,105,61,176,"40,45","0,00%","6,6","136,46","21323,0"
111 /a/f/jpeg/32509/wp_logo_po_sejm_baner_andrzej_hulimka140.jpeg,5,155,95,281,"68,31","0,00%","6,6","207,96","32156,0"
115 /bar.gif,5,0,0,1,"0,40","100,00%","8,6","17,56","2089,0"
114 /r2089512291/dot.gif,5,110,81,149,"27,48","0,00%","7,0","14,48","2127,0"
88 /a/i/wiadomosci/2011/galeria_foto.png,5,75,47,96,"16,52","0,00%","7,8","6,94","915,0"
84 /a/f/jpeg/36229/fotolia_pies_patyk_203.jpeg,5,69,49,99,"20,23","0,00%","8,2","87,01","10834,0"
